user,product,blinding code,replica,transparancy_ap,viscosity_ap,stone_fruits_a,dried_fruits_a,woody_a,tropical_a,animalic_a,medicinal_a,solvent_a,molasses_a,honey_a,leathery_a,musty_a,confectionary_a,floral_a,orchard_a,caramalized_sugar_a,green_a,banana_a,cooked_vegetal_a,vanilla_a,baking_spices_a,ethanol_a,sweetness_m,sourness_m,bitterness_m,saltiness_m,stone_fruits_f,dried_fruits_f,woody_f,tropical_f,animalic_f,medicinal_f,solvent_f,molasses_f,honey_f,leathery_f,musty_f,confectionary_f,floral_f,orchard_f,caramalized_sugar_f,green_f,banana_f,cooked_vegetal_f,vanilla_f,baking_spices_f,ethanol_f,tingeling_m,silkiness_m,body_m,burn_m,coating_m
p-01,1,894,1,90.6,84,20.4,49.6,49.7,10.6,59.7,70.4,39.9,39.9,50.4,11,10.2,1,2,1.9,39.5,3.9,3.2,30.4,2.4,3.4,68.5,60,40.6,40.4,50.2,10.6,40,40.1,9.5,20.4,59.7,19.6,39.5,30.5,5,6,1.8,2.2,3.5,39.6,3.2,2.4,3,1.1,2.6,59.7,39.7,39.4,40.4,40.4,39.7
p-02,1,894,1,78.9,33.5,8.4,7,7.4,6.5,27.8,6.7,51.5,31.6,6.1,55.9,27.4,4.6,22.9,7.9,4.6,25.1,7,4.6,4.1,14.2,50.2,22.5,33.9,8.2,25.2,6.2,4.6,6,4.9,3.5,3.6,44.4,22.2,2.9,44.5,31.4,3.2,5.9,4.4,4.6,8.1,7,5,3.7,24.7,44.7,24.4,49.6,37.6,39,43.7
p-03,1,894,1,76.4,55.5,27.6,66.7,27.1,37.7,0,35.6,0,0,66.1,0,0,0,0,61.3,0,82.1,22.5,66.6,0,0,0,57,14.2,36.2,0,0,56.6,24.9,0,0,52.7,46.4,0,39.4,26.1,22.4,0,32.5,61.3,0,67.4,0,36.5,0,0,0,51.9,84.9,46.5,81,57.2
p-04,1,894,1,93.6,67.9,4,24.6,40,49.9,5.7,5.4,6.5,46.5,5.2,6,4.7,5.1,45.6,13.9,17,3.5,5.6,4,56.4,42.7,18.6,74.5,6.7,8.1,5.7,5.2,28.2,13.8,59.4,6.2,5.4,7.1,39.5,3.9,15.9,4.6,4.6,39.7,5.6,16,2.6,3.2,4.6,75.2,20.4,21.2,60,50.7,60.4,70,20.2
p-06,1,894,1,90,79.9,19.2,39.7,0,59.4,0,0,0,20.5,30.5,0,0,0,0,0,0,0,0,0,20.2,0,0,50.4,21.2,40.9,29.9,29.9,29.5,19.9,0,22.1,0,0,20.4,18.4,0,0,0,0,0,0,0,0,0,20.4,40.6,0,40.9,80.1,79.9,47.2,70.2
p-07,1,894,1,91.6,9,10.1,29.1,29.9,15.1,9.5,9.1,11.9,11,9.7,40.4,40.2,14.7,12,10.7,9.7,23.9,9.6,11.4,20.9,9.5,10.6,65.2,20.1,15.2,15.7,28.5,69.4,30.4,30.4,9,15.1,24.1,28.7,27.3,14.6,20,31.4,37.4,9.7,9.7,11,10.6,10.4,66.7,9.9,20.7,11.1,34.5,9.7,9.1,35.2
p-08,1,894,1,87.5,17.6,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,82,0,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,74.6,65.1,65.2,74.7,24.4
p-09,1,894,1,84.4,70.2,0,0,18.7,0,0,0,19.6,0,0,0,69.6,0,49.6,0,0,15.5,0,0,0,30.4,0,0,0,50,10.9,0,0,60,0,0,49.5,29.9,0,0,0,0,0,0,0,0,0,0,0,0,20.1,69.5,40.7,21.1,40.7,21.6,70.4
p-10,1,894,1,89.1,49.2,10,0,0,0,70.5,40.1,30.5,0,0,49.4,0,0,0,0,0,0,0,0,0,0,59.7,30,0,40.6,0,0,31.1,0,0,50.1,0,29.5,51.4,0,40.4,0,0,0,0,0,0,0,0,0,0,50.1,41.1,9.7,12.9,39.9,20.6
p-12,1,894,1,92.1,65.2,6.4,6.9,8.7,10.1,18.6,34.5,81,5,7.4,64.9,26.9,7.7,5.9,9.9,10.5,12.4,11.9,48.1,6.9,7,28,59,38.2,42.2,62.7,10.6,11.2,8.9,8.9,11.5,65.2,47.9,8.9,8.2,10.5,12.6,35,7.7,8.2,10.1,7.9,9.7,37.6,5.4,6.1,23.5,25.6,64,23.1,79.2,40.5
